PRIZE, CONTESTANT, trophy, presenter, diploma, principal, medal, runner, book, author, mortgage, lender, C
NOISE, DIN, injury, pride, voice, speech, sincerity, homage, emotion, fervor, signal, message, E
PLUG, SOCKET, key, lock, chair, desk, wire, electricity, current, switch, fan, wind, A
RAGE, ANGER, Bliss, apathy, fear, shame, delight, pleasure, frustration, patience, approval, censure, C
VERTEX, PYRAMID, strand, hair, rectangle, box, rung, ladder, frame, picture, summit, mountain, E
MOVIE, DIRECTOR, store, salesperson, business, manager, book, critic, competition, athlete, product, advertiser, B
CUTLERY, KNIFE, machinery, fuel, lumber, saw, suitcase, handle, bookcase, volume, furniture, chair, E
ASPIRANT, AMBITION, mentor, malice, renegade, faith, virtuoso, innocence, rebel, defiance, antagonist, maturity, B
ANARCHISM, GOVERNMENT, paternalism, ancestors, pacifism, war, realism, progress, capitalism, commerce, socialism, society, A
STUPIDITY, DUNCE, obstinacy, introvert, flattery, sycophant, fear, clown, acuity, hypocrite, deceit, vagrant, E
REMISSION, DISEASE, recollection, imagination, resurgence, determination, prescription, diagnosis, quiescence, storm, regression, violence, E
DISCUSSION, ALTERCATION, planning, action, speech, tirade, uncertainty, change, dialogue, conversation, group, convention, D
CAPTAIN, CREW, Student, faculty, mascot, team, defendant, jury, chairperson, committee, representative, senate, D
HOMESTRETCH, RACE, source, essay, gallery, play, finale, opera, applause, oration, prelude, concerto, C
ROBBERY, THIEF, jewelry, burglar, forgery, counterfeiter, hostage, kidnapper, sabotage, plunderer, capture, fugitive, B
MENAGERIE, ANIMALS, circus, acrobats, gallery, paintings, sachet, powders, archives, events, factory, furniture, B
PILGRIM, PIETY, explore, curiosity, miser, poverty, gambler, winner, knight, beauty, monk, loneliness, A
MASON, STONE, soldier, weapon, lawyer, law, blacksmith, forge, teacher, pupil, carpenter, wood, E
ARTICULATE, SPEECH, predictable, event, coordinated, movement, dangerous, disease, active, thought, erratic, path, B
INCEPTION, CONCLUSION, departure, arrival, culmination, upshot, refutation, approval, approach, return, escapade, punishment, A
SCINTILLATING, DULLNESS, erudite, wisdom, desultory, error, boisterous, calm, cautious, restraint, exalted, elevation, C
ELUCIDATE, CLARITY, envision, memory, aggravate, problem, conceal, oblivion, illuminate, light, mystify, enlightenment, D
SHARD, POTTERY, seed, flower, smoke, fire, dish, menu, chair, furniture, splinter, wood, E
REPEL, LURE, dismount, devolve, abrogate, deny, abridge, shorten, enervate, weaken, miscarry, succeed, E
PENURY, MONEY, starvation, sustenance, independence, freedom, infirmity, illness, reality, foresight, spontaneity, care, A
ARABLE, LAND, impenetrable, jungle, navigable, waterway, fertile, fertilizer, shallow, pond, flat, field, B
ATTENUATE, SIGNAL, exacerbate, problem, modify, accent, dampen, enthusiasm, elongate, line, dramatize, play, C
FURNACE, SLAG, vegetable, garbage, factory, goods, fire, ashes, automobile, gasoline, silo, grain, C
PROSAIC, MUNDANE, obdurate, foolish, ascetic, austere, clamorous, captive, loquacious, taciturn, peremptory, spontaneous, B
SALACIOUS, WHOLESOME, religious, private, expensive, profligate, conservative, stoic, mendacious, truthful, fulsome, generous, D
PONDER, PROBLEM, remove, doubt, capture, runaway, seize, time, ruminate, idea, curl, hair, D
HACKNEYED, FRESHNESS, stale, porosity, facile, delicacy, ponderous, lightness, central, vitality, relevant, pertinence, C
ELECTED, INAUGURATION, enrolled, graduation, condemned, execution, chosen, selection, gathered, exhibition, appointed, interview, B
DIVIDEND, STOCKHOLDER, patent, inventor, royalty, author, wage, employer, interest, banker, investment, investor, B
ARCHIPELAGO, ISLAND, village, hamlet, constellation, star, river, sea, finger, hand, tongue, mouth, B
PRECIS, ELABORATION, comprehension, understanding, revision, correction, simplification, decoration, accuracy, abnormality, expurgation, distortion, C
MINCE, WALK, bang, sound, wave, gesture, waltz, dance, simper, smile, hike, run, D
DISINTERESTED, UNBIASED, indulgent, intolerant, exhausted, energetic, languid, lethargic, unconcerned, involved, profligate, flippant, C
AMBIVALENT, CERTAIN, indifferent, biased, furtive, open, impecunious, voracious, discreet, careful, munificent, generous, B
DEFERENCE, RESPECT, admiration, jealousy, condescension, hatred, affection, love, pretence, truth, gratitude, charity, C
AUTHORITARIAN, LENIENT, philanthropist, generous, virtuoso, glamorous, hedonist, indulgent, servant, servile, miser, charitable, E
ALLAY, SUSPICION, tend, plant, impede, anger, calm, fear, fell, tree, exacerbate, worry, C
PERENNIAL, EPHEMERAL, volatile, evanescent, mature, ripe, diurnal, annual, permanent, temporary, majestic, mean, D
DIRECTORY, ADDRESS, list, number, catalogue, shop, thesaurus, fact, dictionary, spelling, encyclopaedia, solecism, D
PRIMITIVE, SOPHISTICATE, employee, superior, socialite, recluse, tyro, expert, native, inhabitant, applicant, member, C
TAP, PUMMEL, tiptoe, stamp, hit, hurt, lumber, stumble, talk, chat, pump, water, A
TRAGEDY, DRAMA, farce, actor, cartoon, film, prosody, poem, accident, ambulance, epigram, anecdote, B
BOAST, LANGUAGE, glare, anger, swagger, gait, stare, sight, grow, height, enrage, anger, B
BELITTLE, DISPARAGE, jeopardize, protect, efface, inscribe, assuage, increase, deride, ridicule, decrease, augment, D
VIRULENT, INNOCUOUS, pretentious, harmful, reprehensible, praiseworthy, strong, delicate, epidemic, widespread, antiseptic, medical, B
INCOHERENT, CLARITY, quiet, volume, normal, austerity, stagnant, light, scribbled, writing, tidy, mind, A
DESECRATE, HOLY, despoil, beautiful, beautify, ugly, glamorize, rich, damage, corporeal, improve, dull, A
VIRTUOSO, ACCOMPLISHED, aesthete, austere, servant, servile, hedonist, pretentious, priest, orthodox, philanthropist, generous, E
AUTHORITARIAN, STRICT, fallacious, fraught, fastidious, particular, exemplary, arrogant, apprehensive, eager, neutral, objective, B
HOMOGENEOUS, KIND, fast, speed, suspicious, origin, diverse, route, contemporary, time, disparate, place, D
CONSPICUOUS, VISIBLE, sensual, audible, irrevocable, changed, elastic, stretched, ignominious, denounced, sensitive, felt, C
AUTHENTIC, APOCRYPHAL, immune, dangerous, conventional, unorthodox, pious, religious, eccentric, strange, reticent, chaotic, B
TEMPER, HARD, mitigate, severe, provoke, angry, endorse, tough, infer, certain, scrutinize, clear, A
STANZA, POEM, chapter, novel, prose, verse, stave, music, song, chorus, overture, opera, A
ABSTEMIOUS, INDULGE, subversive, undermine, diffident, confide, profligate, spend, gregarious, participate, submissive, assert, E
FRAGMENT, MERGE, engage, marry, loose, tighten, splinter, join, mend, rend, diverge, convex, C
PROLIFIC, UNFRUITFUL, new, old, blooming, withered, fertile, barren, fresh, stale, fecund, fervid, C
GLASS, TRANSLUSCENCE, cup, portability, mammal, perfection, light, opacity, metal, luster, cotton, weight, D
NEEDLE, PINE, pin, cloth, trunk, tree, flower, leaf, spine, cactus, stalk, root, D
DERIDE, RIDICULE, jeopardize, protect, assuage, increase, efface, inscribe, decrease, augment, belittle, disparage, E
REPREHENSIBLE, PRAISEWORTHY, pretentious, harmful, virulent, innocuous, epidemic, widespread, antiseptic, medicinal, admirable, laudable, B
ANECDOTE, STORY, ballad, song, novel, chapter, limerick, poem, prose, poetry, overture, opera, C
EXPEDITE, HASTEN, conscript, write down, divert, make harder, facilitate, make easier, satirize, praise, stretch, shrink, C
DIFFIDENT, CONFIDENCE, obscure, peculiarity, faithful, security, submissive, equanimity, fervid, vigor, unstable, balance, E
ERUDITE, LEARNING, whimsical, caprice, elegant, diplomacy, generous, stinginess, conscientious, objection, orthodox, opinion, A
GRANDILOQUENT, SIMPLE, palatial, sybaritic, salacious, rumored, soporific, sporadic, circumlocutory, straightforward, magnificent, peaceful, D
APOCRYPHAL, CERTAINTY, conventional, orthodoxy, religious, piety, strange, incongruity, chaotic, order, reticent, restraint, D
INDEFATIGABLE, ENERGY, illustrious, infamy, sagacious, wisdom, enervated, vitality, experienced, excellence, surreal, imagination, B
BEGUILE, WILES, encourage, exhortations, enlighten, ruses, ennoble, tirade, deride, incantations, delude, elegies, A
TACITURN, VOLUBLE, stealthy, covert, convivial, hospitable, gregarious, affable, ingenuous, cunning, succinct, concise, D
MONOLOGUE, ACTOR, solo, singer, performance, orchestra, prologue, book, repertoire, choir, drama, author, A
STOIC, FORTITUDE, benefactor, generosity, heretic, faith, eccentric, ineptitude, miser, charity, soldier, bravery, A
PEERS, UNEQUAL, comrades, unfriendly, compatriots, hostile, collaborators, helpful, kinsfolk, related, inferiors, submissive, A
DIPLOMAT, TACT, novice, expertise, virtuoso, skill, sybarite, energy, philanderer, restraint, dilettante, profundity, B
RUSE, OUTWIT, desire, frustrate, fiasco, foil, irritant, annoy, test, evaluate, statute, legalize, A
COTTAGE, MANSION, hamlet, house, camp, hut, suburb, city, mountain, peak, pond, lake, E
IRREVOCABLE, CHANGED, ingenious, doubted, axiomatic, studied, ridiculous, appreciated, inevitable, avoided, inviolate, protected, D
RETALIATE, VENGEFUL, ameliorate, compassionate, conciliate, flexible, exacerbate, optimistic, iterate, hopeful, ruminate, woeful, B
SPORADIC, CONTINUOUS, tranquil, cacophonous, cathartic, impetuous, perennial, eternal, fitful, soporific, vicarious, indirect, A
HONE, SHARP, caulk, leaky, polish, shiny, burnish, dull, irritate, hazy, scald, smooth, B
FORMULATE, HYPOTHESIS, adjudge, criterion, terminate, meeting, abrogate, right, forswear, oath, derive, law, E
ESCHEW, EVIL, foster, child, ostracize, pariah, embroil, argument, attenuate, signal, concatenate, circumstance, B
RACONTEUR, NARRATE, ruffian, ruffle, comedian, laugh, host, entertain, spendthrift, hoard, recluse, socialise, C
TAWDRY, SHOWY, meretricious, attractive, gaudy, garish, intricate, delicate, brittle, flexible, elegant, urbane, A
FOREBODING, UNEASY, tension, languid, dread, alert, consternation, smug, jubilation, determined, well-being, cheerful, E
APPENDIX, BOOK, overture, symphony, epilogue, play, glossary, author, premise, law, stanza, poem, B
INNOVATIVE, TRITE, ingenious, clever, conspicuous, obvious, contumacious, stubborn, arrogant, egotistical, adept, incompetent, E
FROWN, DISPLEASURE, hunch, certainty, fidget, restlessness, pucker, ambivalence, squirm, collusion, strut, humility, B
REAM, PAPER, hutch, wood, bale, hay, coop, chickens, guffaw, laughter, quart, glass, B
PERFORATION, SEAL, consternation, worry, temerity, daring, vanity, hopes, laceration: skin, incarceration, prison, D
RAREFY, DENSE, exacerbate, severe, negate, fruitful, placate, serene, clarify, obscure, petrify, hard, D
PROBITY, GUILE, alacrity, speed, felicity, joy, ingenuity, skill, decorum, behaviour, industry, laziness, E
NUISANCE, IRKSOME, bane, troublesome, delight, peaceful, paradox, expected, conglomeration, ugly, ramification, overt, A
COMMAND, PEREMPTORY, gesticulate, magnanimous, retreat, cowardly, insist, forceful, proliferate, free, underscore, nonchalant, C
AMALGAMATE, SEPARATE, desecrate, despoil, capitulate, surrender, promulgate, propagate, vilify, decry, join, splinter, E
CAROUSE, SEDATE, congregate, voluble, castigate, angry, enshroud, hidden, abstain, abstemious, enthuse, lukewarm, E
ZEALOT, PASSION, patriarch, tyranny, quack, deception, sybarite, austerity, libertarian, anarchy, sophomore, derision, B
REPLICATE, RESULT, enervate, weakness, ameliorate, problem, embroil, argument, bequeath, legacy, repeat, feat, E
PHILANTHROPIST, FRUGALITY, stoic, vulnerability, jingoist, clarity, propagandist, indoctrination, nomad, transcendence, expatriate, innovation, A
CHOLERIC, ANGER, cynic, displeasure, gullible, trustworthiness, skeptical, doubt, sanguine, pessimism, narcissistic, petulance, C
VISCOUS, TREACLE, saccharine, sugar, attractive, nectar, smooth, satin, volatile, oil, durable, wood, C
AVARICE, MONEY, trepidation, fear, ambition, success, deference, respect, decadence, praise, clairvoyance, future, B
SNEER, CONTEMPT, lament, mockery, glower, anger, confess, sorrow, chide, repentence, rejoice, mirth, B
TIFF, QUARREL, skirmish, battle, fight, debate, fiasco, disgrace, joy, exercise, peccadillo, improvement, A
DAPPLED, SPOTS, riddled, holes, checked, lines, serrated, squares, blanched, stains, rotund, circles, A
ARENA, CONFLICT, forum, discussion, agenda, meeting, theater, direction, building, construction, precinct, police, A
PETRIFY:: STONE, electrify, interest, engrave, inscription, ossify, bone, glorify, saint, mould: coin, C
PARTISAN, CAUSE, skeptic, doubt, pariah, orthodoxy, insurgent, clique, sectarian, sect, guerrilla, tactic, D
FLEDGLING, INEXPERIENCED, novice, unseasoned, mentor, sanguine, facilitator, harsh, tyrant, vulnerable, lobbyist, verbose, A
PEERLESS, SURPASSED, grandiose, ignored, indisputable, challenged, opaque, seen, perplexed, confounded, lavish, bettered, B
EMBARKATION, VOYAGE, criterion, judgement, inception, project, delineation, argument, diatribe, attack, conservation, region, B
ACROBAT, LITHE, sycophant, altruistic, cartographer, circumspect, surgeon, dextrous, pariah, bombastic, raconteur, taciturn, C
STANCH, FLOW, corroborate, claim, scrutinize, document, validate, law, whet, appetite, damp, oscillation, E
PROLIFERATE, NUMBER, disseminate, information, promulgate, area, atrophy, strength, malinger, capacity, dilate, size, E
EDIFICE, BUILDING, fence, gate, shed, cottage, wood, orchard, portal, door, tower, belfry, D
CORPOREAL, BODY, existential, spirit, macroscopic, microscope, rational, mind, fetal, child, sartorial, satire, C
PROLIFIC, FRUITFUL, blooming, sprouted, technical, innovative, fertile, productive, parental, filial, lucid, glowing, C
SOLVE, MYSTERY, ensure, animal, decipher, code, debate, riddle, conquer, enemy, lengthen, tale, B
LIONIZE, CELEBRITY, worship, idol, ostracize, hero, swindle, trickster, recount, myth, confer, advantage, A
EXPEL, PUPIL, inter, prisoner, question, inquisitor, deport, alien, instigate, firebrand, judge, defendant, C
CALLOW, MATURITY, arid, dryness, putrid, impurity, aggressive, fight, timid, interest, barren, productivity, E
CONFLAGRATION, FIRE, metropolis, city, asylum, building, village, town, bureau, office, bridge, brook, A
SLUGGARD, ENERGY, maverick, rebellion, scribe, writing, shirker, laziness, slattern, tidiness, despot, power, D
ROUSE, PACIFY, escalate, moderate, defile, adulterate, ameliorate, placate, exacerbate, sharpen, awaken, spur, A
PAROCHIAL, LOCAL, idolatrous, religious, miserly, unique, capricious, erratic, germinal, developing, mercenary, money, E
INCARCERATION, PRISON, moratorium, activity, sequestration, isolation, adulation, worship, pedantry, learning, dejection, desperation, B
INGRATE, GRATITUDE, lover, amorousness, paragon, virtue, profligate, frugality, coward, timidity, misogynist, women, C
HYPOCRITICAL, SINCERE, arrogant, aloof, disinterested, impartial, cynical, gloomy, rapacious, greedy, flustered, composed, E
MALINGER, WORK, shirk, obligation, scold, child, fight, disease, amaze, miracle, invent, excuse, A
UBIQUITOUS, EVERYWHERE, impervious, stratified, penetrable, wild, endemic, widespread, eternal, forever, pervasive, environmental, D
WITLESS, SAGACITY, infamous, notoriety, obtuse, acuity, perceptive, insight, jovial, jollity, myriad, variety, B
UNDERSCORE, EMPHASIS, adorn, decoration, underplay, emotion, chastise, praise, expose, veracity, elongate, detail, A
WOOD, SAW, ice, igloo, metal, chisel, butter, knife, paper, clip, stone, wall, C
FORD, STREAM, pass, mountain, route, avenue, field, pasture, score, music, alley, building, A
SUPPORT, PATRON, bluster, braggart, inspiration, muse, glory, hero, praise, parent, honor, soldier, B
CURATOR, MUSEUM, captain, household, servant, abode, conductor, music, athlete, competition, warden, prison, E
INCUMBENT, OFFICE, employee, career, landlord, accommodation, officer, station, monarch, throne, politician, presidency, D
NEOPHYTE, EXPERIENCE, traitor, trust, teacher, education, vagrant, abode, magnate, power, scholar, knowledge, C
SYMPHONY, MUSIC, epic, poem, anecdote, story, opera, theater, verse, poem, anthem, novel, A
ADMONISH, SCOLD, concur, disagree, persuade, lure, attack, mollify, arouse, stupefy, conceal, hide, E
SYNTHESIS, PARTS, merger, laws, confluence, streams, smelting, ores, abnegation, vows, dissipation, energy, B
TORTUOUS, DIRECT, angular, bent, curvaceous, rotund, enervated, weak, meandering, straight, harsh, strict, D
CRITERIA, JUDGEMENT, signs, direction, mistakes, contrition, paradoxes, clarity, data, evaluation, superstitions, destiny, D
BELLICOSE, AGGRESSION, unconcerned, anxiety, willful, compliance, pliant, tractability, somber, jollity, guilty, remorse, C
CHOLERIC, ANGER, sanguine, optimism, saturnine, cheer, jovial, melancholy, jaundiced, hope, introverted, charity, A
AMUSE, DIVERT, regale, entertain, scuttle, salvage, encapsulate, expand, expurgate, repeal, aggrandize, moderate, A
EXACERBATE, BETTER, elucidate, clear, engender, constant, accredit, spurious, enlarge, capacious, ameliorate, worse, E
CACKLE, GEESE, coop, poultry, troupe, monkeys, bray, donkey, desert, iguana, flipper, whale, C
PORTION, FOOD, apartment, dwelling, meal, dessert, fork, utensil, amount, number, dose, drug, E
ESSAY, THESIS, story, protagonist, novel, book, writer, fiction, article, topic, law, stricture, D
MUSICIAN, VIRTUOSO, poet, bard, empress, subject, explorer, embarkation, opportunist, politician, controller, actor, A
FURTIVE, BEHAVIOR, evanescent, actions, cerebral, thoughts, conditioned, reflex, awkward, speech, covert, action, E
RATIFY, TREATY, delineate, detour, sanction, expenditure, congregate, church, escalate, conflict, decry, misdemeanor, B
GRANDIOSE, PLAN, intricate, map, educated, guess, ornate, building, querulous, child, ignorant, oaf, C
BEACON, LIGHT, precept, principle, shroud, cloud, contradiction, confusion, command, order, dagger, weapon, A
EXTRICATE, ENSNARED, enfranchise, suffering, condone, sinning, coordinate, coherent, liberate, enslaved, donate, desperate, D
EDITORIAL, OPINION, magazine, doctrine, forum, censorship, headline, synopsis, biography, life history, catalog, requisition, D
FETTER, MOVEMENT, shoulder, support, bastion, strength, catacomb, death, precinct, law breaking, gag, speech, E
IMPASSE, DEADLOCK, moratorium, instigation, quandary, dilemma, exegesis, confusion, paradigm, prognosis, quantum, limitation, B
CATHARSIS, EMOTION, excoriation, malady, extenuation, innocence, absolution, guilt, elegy, mourning, contrition, sorrow, C
UNWITTING, AWARENESS, alone, companionship, clandestine, complicity, egregious, oblivion, dormant, torpor, diurnal, permission, A
NASCENT, MORIBUND, sophomoric, puerile, covetous, greedy, sycophantic, servile, shrewd, disingenuous, germinal, senescent, E
HANGER, AIRPLANCE, Stable, horse, canal, ship, lobby, administrator, junkyard, automobile, bed, river, A, 
VANE, WIND DIRECTION, thermometer, mercury, speedometer, pedal, hourglass, sand, barometer, heat, sundial, time, E, 
ANONYMOUS, NAME, colorful, hue, enormous, size, shapeless, form, brief, significance, precise, measurement, C, 
SYMPATHY, EMOTION, sorrow, happiness, friendship, relationship, pride, punishment, criticism, guilt, harshness, helpfulness, B, 
HABIT, CUSTOMARY, response, coordinated, impulse, corrective, reflex, involuntary, concern, commendatory, performance, descriptive, C, 
THREAT, HOSTILITY, plea, clemency, promise, benevolence, lampoon, raise, capitulation, malice, compliment, admiration, E, 
MAGNET, IRON, tank, fluid, hook, net, sunlight, plant, spray, tree, flame, bird, C, 
ARDENT, INTERESTED, depressed, cheerful, bored, curious, shy, listless, incensed, annoyed, wise, detached, D, 
VOGUE, ACCEPTED, ferment, coalesced, transition, unchanged, jeopardy, voided, abundance, desired, disrepute, shunned, E, 1
HYPERBOLE, LANGUAGE,, prodigality, spending, whimsicality, poetry, idiom, slang, repetition, behavior, ambition, working, A, 1
STUDIO, ARTIST, play, dramatist, cathedral, architect, blackboard, professor, laboratory, chemist, quarry, sculptor, D, 1
RIPPLE, TIDAL WAVE, breeze, hurricane, blizzard, avalanche, valley, earthquake, puddle, downpour, rock, waterfall, A, 1
EDUCATIONAL, IGNORANCE, book, knowledge, door, entrance, reason, philosophy, medicine, disease, work, recreation, D, 1
BOW, VIOLIN, music, piano, brass, trumpet, note, flute, string, guitar, drumstick, drum, E, 1
DUMBFOUND, ASTONISHMENT, exasperate, frustration, domineer, rebellion, evaluate, incompetence, err, punishment, repulse, admiration, A, 
INTRODUCTION, CONCLUSION, announcement, news, greeting, farewell, birth, marriage, arrival, salutation, friendship, termination, B, 
STRIKE, WORK, postpone, cancel, censor, learn, incorporate, merge, detour, trespass, boycott, engineer, E, 
SCALPEL, SURGEON, razor, barber, weed, gardener, recipe, chef, medicine, patient, compass, engineer, A, 
PREPOSTEROUS, COMMONSENSE, illegal, law, chtonic, pain, indelible, error, justifiable, logic, hilarious, laughter, A, 
CLASH, COLOR, intensity, sensation, glimpse, vision, pebble, texture, dissonance, sound, absurdity, perception, D, 
FORMIDABLE, FEAR, intolerable, patience, grateful, regret, sickening, disgust, generous, pity, dismal, cheer, C, 
BASTION, DEFENSE, arsenal, storage, anchorage, supply, citadel, concealment, asylum, embarkation, pavilion, fortification, A, 
SAGA, LENGTHY, proverb, pithy, eulogy, candid, poem, humorous, play, short – lived, novel, acclaimed, A, 
BIRDS, AVIRARY, bees, garden, cows, herd, apes, jungle, quails, bevy, sheep, fold, E, 1
LASSITUDE, VIGOR, dedication, employment, greed, possessions, indigence, funds, rehearsal, performance, repudiation, theory, C, 1
BIRD, MIGRATION, parrot, imitation, ranger, conservation, bear, hibernation, lawyer, accusation, traveler, location, C, 1
